,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
1214,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,West Mamprusi (Walewale),-1.117310524,10.33463287,226,245.41,100
1215,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Wassa West (Tarkwa),-1.988853216,5.276049137,249,272.82,50
1216,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Akwapim North (Akropong),-0.166071147,5.976426125,246,272,5
1217,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Asutifi (Kenyasi),-2.515068054,7.028093815,341,355.5,34
1218,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Accra Metropolitan,-0.197115257,5.607395649,NA,NA,NA
1219,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Accra Metropolitan,-0.197115257,5.607395649,328,345.19,100
1220,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Accra Metropolitan,-0.197115257,5.607395649,330,345.85,40
1221,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,North Tongu (Adidome),0.407175899,6.13318634,209,242.05,20
1222,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515,212,242.5217391,23
1223,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675,285,307.89,100
1224,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,East Akim (Kibi),-0.454344213,6.178557873,209,255.1451613,62
1225,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Ho Municipal,0.52614224,6.717607021,214,249.2580645,31
1226,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Adansi West (Obuasi),-1.65927422,5.986411572,263,292.66,50
1227,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Tema,-0.050088216,5.69031477,316,339.2713568,199
1228,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Sunyani,-2.327423334,7.344677925,362,373.6,20
1229,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Dangme West (Dodowa),0.512386501,5.786250591,215,255.8333333,12
1230,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Asante Akim South (Juaso),-1.088292599,6.532979965,229,259.9222222,90
